,Cities,Bedrooms,Bathrooms,Living Space (SQ FT),Price,Zestimate
244,Richardson,4.0,2.0,2336.0,430000.0,NaN
245,Richardson,4.0,3.0,1938.0,699000.0,NaN
246,Richardson,3.0,2.0,1331.0,328000.0,328003
247,Richardson,3.0,3.0,2083.0,415000.0,NaN
248,Richardson,4.0,4.0,2649.0,575000.0,575004
249,Richardson,4.0,3.0,2586.0,699900.0,699902
250,Richardson,4.0,3.0,3066.0,649900.0,651386
251,Richardson,5.0,4.0,3821.0,635000.0,633073
252,Richardson,3.0,2.0,1266.0,359900.0,360802
253,Richardson,4.0,3.0,2295.0,615000.0,NaN
254,Richardson,3.0,2.0,1288.0,398900.0,400576
255,Richardson,4.0,3.0,2414.0,524900.0,528336
256,Richardson,3.0,3.0,2953.0,719000.0,719001
257,Richardson,3.0,3.0,2915.0,745000.0,745001
258,Richardson,2.0,1.0,936.0,275000.0,NaN
259,Richardson,4.0,4.0,3360.0,738900.0,738905
260,San Antonio,4.0,3.0,2486.0,289999.0,287800
261,San Antonio,4.0,4.0,3249.0,440000.0,440001
262,San Antonio,4.0,3.0,2961.0,349900.0,320300
263,Von Ormy,3.0,2.0,1816.0,95000.0,NaN
264,San Antonio,3.0,3.0,2861.0,414000.0,414002
265,San Antonio,4.0,3.0,2360.0,406896.0,373400
266,San Antonio,3.0,2.0,1936.0,279000.0,276619
267,San Antonio,2.0,2.0,1177.0,209500.0,207504
268,San Antonio,3.0,3.0,1631.0,495000.0,494800
269,San Antonio,3.0,2.0,2381.0,480000.0,480002
270,San Antonio,3.0,2.0,1688.0,299500.0,288800
271,San Antonio,3.0,3.0,2147.0,248000.0,245600
272,San Antonio,4.0,3.0,2982.0,318000.0,317076
273,San Antonio,4.0,2.0,1970.0,230000.0,230000
274,San Antonio,4.0,3.0,1824.0,340000.0,340000
275,San Antonio,3.0,3.0,1583.0,465000.0,NaN
276,San Antonio,2.0,1.0,960.0,238888.0,238888
277,San Antonio,4.0,3.0,2912.0,360000.0,357194
278,San Antonio,5.0,3.0,2480.0,260000.0,257987
279,San Antonio,4.0,1.0,1293.0,179000.0,173735
280,Carrollton,3.0,3.0,2106.0,359000.0,356800
281,Carrollton,3.0,2.0,1314.0,329000.0,NaN
282,Carrollton,4.0,3.0,2748.0,500000.0,NaN
283,Carrollton,3.0,2.0,1503.0,409900.0,417716
284,Carrollton,4.0,4.0,3310.0,699000.0,707472
285,Carrollton,3.0,2.0,2019.0,395000.0,404744
286,Carrollton,2.0,3.0,1750.0,340000.0,NaN
287,Carrollton,3.0,3.0,2235.0,544999.0,564234
288,Carrollton,3.0,2.0,1997.0,399200.0,408272
289,Carrollton,4.0,2.0,1847.0,399000.0,410617
290,Carrollton,4.0,3.0,1947.0,449000.0,459262
291,Carrollton,4.0,3.0,2738.0,549990.0,562800
292,Carrollton,3.0,3.0,2611.0,695000.0,615100
293,Carrollton,4.0,3.0,3709.0,625000.0,NaN
294,Carrollton,3.0,3.0,1817.0,470000.0,479126
295,Carrollton,4.0,3.0,2780.0,535000.0,547200
296,Carrollton,4.0,3.0,2659.0,508900.0,NaN
297,Carrollton,3.0,3.0,2287.0,535000.0,549078
298,Carrollton,3.0,2.0,1464.0,360000.0,360002
299,Carrollton,3.0,2.0,1764.0,399000.0,NaN
300,El paso,NaN,0.0,NaN,990000.0,NaN
301,El Paso,3.0,3.0,1161.0,165000.0,165000
302,El Paso,4.0,3.0,2691.0,525000.0,514169
303,El Paso,3.0,2.0,1557.0,239000.0,239000
304,El Paso,3.0,2.0,1776.0,290000.0,290000
305,El Paso,3.0,2.0,1621.0,249000.0,247078
306,El Paso,4.0,3.0,2379.0,360280.0,360281
307,El Paso,7.0,4.0,4112.0,540000.0,528510
308,El Paso,4.0,2.0,1979.0,270000.0,269083
309,El Paso,5.0,2.0,1808.0,229900.0,229900
310,El Paso,3.0,3.0,2696.0,720000.0,707958
311,El Paso,3.0,3.0,2477.0,389999.0,389999
312,El Paso,3.0,3.0,2085.0,315000.0,304323
313,El Paso,3.0,1.0,1215.0,115000.0,132500
314,El Paso,4.0,3.0,2481.0,349900.0,349901
315,El Paso,5.0,5.0,3917.0,575000.0,561696
316,El Paso,2.0,1.0,938.0,160000.0,160000
317,El Paso,3.0,3.0,1961.0,182500.0,182969
318,El Paso,NaN,0.0,4732.0,580000.0,462800
319,El Paso,4.0,3.0,2051.0,290000.0,290000
320,Houston,3.0,4.0,3859.0,5250000.0,NaN
321,Houston,2.0,3.0,2464.0,2135000.0,NaN
322,Houston,2.0,3.0,2118.0,1695000.0,NaN
323,Houston,3.0,2.0,1466.0,260000.0,260001
324,Houston,2.0,1.0,1362.0,725000.0,505800
325,Houston,3.0,2.0,1746.0,240000.0,226600
326,Houston,3.0,2.0,1615.0,419500.0,416416
327,Houston,2.0,1.0,1460.0,639000.0,637131
328,Houston,3.0,2.0,1380.0,250000.0,250002
329,Houston,3.0,4.0,1961.0,549999.0,NaN
330,Houston,3.0,4.0,1961.0,564999.0,NaN
331,Houston,3.0,1.0,1095.0,95000.0,133300
332,Houston,2.0,1.0,994.0,106000.0,78500
333,Houston,3.0,1.0,1379.0,315000.0,304838
334,Houston,2.0,2.0,1078.0,305000.0,299245
335,Houston,3.0,2.0,1844.0,279000.0,274450
336,Houston,5.0,4.0,3352.0,535000.0,525658
337,Houston,3.0,2.0,1539.0,252990.0,NaN
338,Houston,3.0,2.0,1697.0,239900.0,239901
339,Houston,3.0,4.0,2238.0,550000.0,545769
340,Dallas,3.0,2.0,2031.0,1150000.0,NaN
341,Dallas,4.0,3.0,2396.0,495000.0,496564
342,Dallas,3.0,2.0,1851.0,525000.0,NaN
343,Dallas,3.0,1.0,1518.0,849000.0,651600
344,Dallas,4.0,4.0,2547.0,925000.0,NaN
345,Dallas,4.0,4.0,2547.0,925000.0,NaN
346,Dallas,8.0,7.0,5622.0,885000.0,829400
347,Dallas,4.0,4.0,2512.0,799900.0,799900
348,Dallas,2.0,2.0,1148.0,270000.0,270002
349,Dallas,2.0,2.0,1148.0,270000.0,270002
